article_title,revision_Id,article_quality,country,region,population
Themba Maseko,1084880381,Start,South Africa,SOUTHERN AFRICA,60.6
Bandile Masuku,1115516317,C,South Africa,SOUTHERN AFRICA,60.6
Qaqambile Matanzima,1084880360,C,South Africa,SOUTHERN AFRICA,60.6
Khayelihle Mathaba,1084880305,Stub,South Africa,SOUTHERN AFRICA,60.6
Graham McIntosh,1071895270,C,South Africa,SOUTHERN AFRICA,60.6
Ntombi Lentheng Mekgwe,1084875290,Stub,South Africa,SOUTHERN AFRICA,60.6
Jan Meyer,1100262444,B,South Africa,SOUTHERN AFRICA,60.6
Clarence Mini,1084878322,C,South Africa,SOUTHERN AFRICA,60.6
Wilton Mkwayi,1101374740,C,South Africa,SOUTHERN AFRICA,60.6
Zwakele Mncwango,1114285475,C,South Africa,SOUTHERN AFRICA,60.6
Ellen Molekane,1084871818,Stub,South Africa,SOUTHERN AFRICA,60.6
Silas Molema,1087407617,Start,South Africa,SOUTHERN AFRICA,60.6
John Moodey,1098205766,C,South Africa,SOUTHERN AFRICA,60.6
Frederick Moor,1086100029,Start,South Africa,SOUTHERN AFRICA,60.6
Viola Motsumi,1084876921,Start,South Africa,SOUTHERN AFRICA,60.6
Dali Mpofu,1113078843,Start,South Africa,SOUTHERN AFRICA,60.6
Mpumi Mpofu,1084874811,Stub,South Africa,SOUTHERN AFRICA,60.6
Bongani Msomi,1084870895,Stub,South Africa,SOUTHERN AFRICA,60.6
Prema Naidoo,1086619086,Start,South Africa,SOUTHERN AFRICA,60.6
Sister Bernard Ncube,1092981088,C,South Africa,SOUTHERN AFRICA,60.6
John Nkadimeng,1106722224,Start,South Africa,SOUTHERN AFRICA,60.6
Sibongile Judith Nkomo,1112786688,Stub,South Africa,SOUTHERN AFRICA,60.6
Stafford Parker,1105552581,Start,South Africa,SOUTHERN AFRICA,60.6
Fawzia Peer,1084880279,Stub,South Africa,SOUTHERN AFRICA,60.6
Penny Penny,1092903833,Start,South Africa,SOUTHERN AFRICA,60.6
Pieter Gysbert Noodt,975860917,Stub,South Africa,SOUTHERN AFRICA,60.6
Amichand Rajbansi,1066986085,C,South Africa,SOUTHERN AFRICA,60.6
JN Reddy (politician),1113392946,GA,South Africa,SOUTHERN AFRICA,60.6
Zamani Saul,1084877243,Start,South Africa,SOUTHERN AFRICA,60.6
Helen Sauls-August,1098455848,Stub,South Africa,SOUTHERN AFRICA,60.6
Charles Saunders (colonial administrator),1098520391,Start,South Africa,SOUTHERN AFRICA,60.6
Floyd Shivambu,1093791445,C,South Africa,SOUTHERN AFRICA,60.6
Archie Sibeko,1096673163,C,South Africa,SOUTHERN AFRICA,60.6
Letitia Sibeko,1107939937,Start,South Africa,SOUTHERN AFRICA,60.6
Edward Philip Solomon,1106269773,Start,South Africa,SOUTHERN AFRICA,60.6
Max Sonnenberg,1096328535,Start,South Africa,SOUTHERN AFRICA,60.6
Walter Stanford,1112747607,C,South Africa,SOUTHERN AFRICA,60.6
Richard Stuttaford,980482363,Start,South Africa,SOUTHERN AFRICA,60.6
Michael Tellinger,1102506186,Start,South Africa,SOUTHERN AFRICA,60.6
Moses Twebe,1084874768,Stub,South Africa,SOUTHERN AFRICA,60.6
Johannes Hendrikus Viljoen,1091590968,Stub,South Africa,SOUTHERN AFRICA,60.6
Andries Waterboer,1084880251,Start,South Africa,SOUTHERN AFRICA,60.6
Nicolaas Waterboer,1105620135,Start,South Africa,SOUTHERN AFRICA,60.6
Alan Winde,1107724739,GA,South Africa,SOUTHERN AFRICA,60.6
Thuli Dladla,1046068469,Stub,South Africa,SOUTHERN AFRICA,60.6
Paul Dlamini,1081249695,Stub,South Africa,SOUTHERN AFRICA,60.6
Prince Sozisa Dlamini,808556266,B,South Africa,SOUTHERN AFRICA,60.6
Njabulo Mabuza,1081249733,Stub,South Africa,SOUTHERN AFRICA,60.6
Themba Masuku,1092838946,Start,South Africa,SOUTHERN AFRICA,60.6
Charles Myeza,1112285121,Stub,South Africa,SOUTHERN AFRICA,60.6
Ben Nsibandze,1100374538,Stub,South Africa,SOUTHERN AFRICA,60.6
Jackson Abugo,1095291739,Stub,South Sudan,EAST AFRICA,10.9
Anisia Achieng,1101103198,Start,South Sudan,EAST AFRICA,10.9
Emmanuel Adil Anthony,1112647227,Start,South Sudan,EAST AFRICA,10.9
Africano Mande Gedima,1115247401,C,South Sudan,EAST AFRICA,10.9
Angelo Dayu Agor,1078042589,Stub,South Sudan,EAST AFRICA,10.9
Morris Yel Akol,1084078778,Stub,South Sudan,EAST AFRICA,10.9
Wol Akec Akol,1093916563,Stub,South Sudan,EAST AFRICA,10.9
Deng Deng Akon,1107221543,Stub,South Sudan,EAST AFRICA,10.9
Mayol Kur Akuei,1044511023,Stub,South Sudan,EAST AFRICA,10.9
Obuch Ojwok Akuo,1065212992,Stub,South Sudan,EAST AFRICA,10.9
Albino Bol,1105090334,Stub,South Sudan,EAST AFRICA,10.9
Jacob Aligo,1095292336,Stub,South Sudan,EAST AFRICA,10.9
Paul Malong Awan,1105447742,C,South Sudan,EAST AFRICA,10.9
Ayaa Benjamin Warille,1113514909,Stub,South Sudan,EAST AFRICA,10.9
Joseph Bakosoro,1113578914,Stub,South Sudan,EAST AFRICA,10.9
Francis Barsan,1078637416,Stub,South Sudan,EAST AFRICA,10.9
Tito Biel,1055829953,Start,South Sudan,EAST AFRICA,10.9
Abraham Makoi Bol,919546351,Stub,South Sudan,EAST AFRICA,10.9
Theresa Anyuat Bola,1090872160,Stub,South Sudan,EAST AFRICA,10.9
Mary Boyoi,1104061850,Start,South Sudan,EAST AFRICA,10.9
Paul Lodu Bureng,1086320016,Stub,South Sudan,EAST AFRICA,10.9
Cirino Hiteng Ofuho,1106297094,Start,South Sudan,EAST AFRICA,10.9
Nyandeng Malek Deliech,1090872164,Start,South Sudan,EAST AFRICA,10.9
Deng Deng Akuei,919471963,Stub,South Sudan,EAST AFRICA,10.9
William Deng Nhial,1114800318,C,South Sudan,EAST AFRICA,10.9
Aldo Deng,1032863130,Start,South Sudan,EAST AFRICA,10.9
Ronald Ruai Deng,919609685,Stub,South Sudan,EAST AFRICA,10.9
Teker Riek Dong,918811425,Stub,South Sudan,EAST AFRICA,10.9
John Malish Dujuk,1108659929,Stub,South Sudan,EAST AFRICA,10.9
George Echom,1067331237,Start,South Sudan,EAST AFRICA,10.9
Baptist Sabit Frances,1068382948,Stub,South Sudan,EAST AFRICA,10.9
Taban Deng Gai,1113427102,GA,South Sudan,EAST AFRICA,10.9
Jacob Kuwinsuk Gale,1108503934,Stub,South Sudan,EAST AFRICA,10.9
Joseph Garang,1099266151,Start,South Sudan,EAST AFRICA,10.9
Isaac Cleto Hassan,1099791155,Stub,South Sudan,EAST AFRICA,10.9
Rezik Zechariah Hassan,949043206,Stub,South Sudan,EAST AFRICA,10.9
Sarah Cleto Hassan,1111889684,Start,South Sudan,EAST AFRICA,10.9
Emmanuel Ija,1095984007,Stub,South Sudan,EAST AFRICA,10.9
Aggrey Jaden,1059224881,Start,South Sudan,EAST AFRICA,10.9
Chol Tong Mayay Jang,888292366,Stub,South Sudan,EAST AFRICA,10.9
Timothy Taban Juch,1058136616,Stub,South Sudan,EAST AFRICA,10.9
Michael Roberto Kenyi,1087319671,Stub,South Sudan,EAST AFRICA,10.9
Salva Kiir Mayardit,1115281646,C,South Sudan,EAST AFRICA,10.9
Peter Bol Koang,918743234,Stub,South Sudan,EAST AFRICA,10.9
Clement Wani Konga,1102830572,Stub,South Sudan,EAST AFRICA,10.9
Baba Medan Konya,919549108,Stub,South Sudan,EAST AFRICA,10.9
Kuol Deim Kuol,1006056090,Stub,South Sudan,EAST AFRICA,10.9
